accession,entry_type,title,summary,organism,gds_type,n_samples,platform,pubmed_ids,release,flag_organoid,flag_5fu,flag_platinum,flag_irinotecan,flag_paired,flag_persister,flag_patient,relevance,geo_url,pubmed_url
GSE300623,GSE,Transcriptomic analyses of PDX tumors (QQX-17) to gain insight into the mechanisms underlying FOLFOXIRI-induced DTP state.,"Chemotherapy resistance remains a significant challenge, often leading to tumor relapse and poor prognosis. While past efforts to overcome treatment resistance have focused primarily on genetic alterations—such as somatic mutations, chromosomal aberrations, and dysregulated signaling pathways—these insights have yet to translate into effective clinical interventions. The recent discovery of drug-tolerant persister (DTP) cells, which survive therapy through reversible, non-genetic adaptations akin to embryonic diapause, has unveiled a novel mechanism of chemotherapy resistance. To investigate this further, we employed treatment-naïve colorectal cancer (CRC) patient-derived xenograft (PDX) models. Upon reaching a tumor volume of 100 mm³, the PDX models were treated with a single maximum-tolerated dose of the FOLFOXIRI regimen. Post-treatment responses varied, including initial tumor shrinkage followed by regrowth, mirroring the ""sensitivity-DTP-regrowth"" pattern observed in CRC patients. Transcriptomic analyses of these PDX tumors were then conducted to elucidate the mechanisms underlying the FOLFOXIRI-induced DTP state.",Homo sapiens,Expression profiling by high throughput sequencing,17,24676,NA,2026/06/27,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300623,NA
GSE300621,GSE,Transcriptomic analyses of PDX tumors (QQX-09) to gain insight into the mechanisms underlying FOLFOXIRI-induced DTP state.,"Chemotherapy resistance remains a significant challenge, often leading to tumor relapse and poor prognosis. While past efforts to overcome treatment resistance have focused primarily on genetic alterations—such as somatic mutations, chromosomal aberrations, and dysregulated signaling pathways—these insights have yet to translate into effective clinical interventions. The recent discovery of drug-tolerant persister (DTP) cells, which survive therapy through reversible, non-genetic adaptations akin to embryonic diapause, has unveiled a novel mechanism of chemotherapy resistance. To investigate this further, we employed treatment-naïve colorectal cancer (CRC) patient-derived xenograft (PDX) models. Upon reaching a tumor volume of 100 mm³, the PDX models were treated with a single maximum-tolerated dose of the FOLFOXIRI regimen. Post-treatment responses varied, including initial tumor shrinkage followed by regrowth, mirroring the ""sensitivity-DTP-regrowth"" pattern observed in CRC patients. Transcriptomic analyses of these PDX tumors were then conducted to elucidate the mechanisms underlying the FOLFOXIRI-induced DTP state.",Homo sapiens,Expression profiling by high throughput sequencing,15,24676,NA,2026/06/27,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300621,NA
GSE83513,GSE,Expression data of GFP-high or low cells of LGR5-GFP or KRT20-GFP knock-in human colorectal tumor organoids.,"We analyzed gene expression of 3 lines LGR5-GFP, 2 lines KRT20-GFP knock-in colorectal tumor organdies.  The cancer stem cell (CSC) theory highlights a self-renewing subpopulation of cancer cells that fuels tumour growth. The existence of human CSCs is mainly supported by xenotransplantation of prospectively isolated cells, but their clonal dynamics and plasticity remain unclear. Here, we show that human LGR5+ colorectal cancer cells serve as CSCs in growing cancer tissues. Lineage-tracing experiments with a tamoxifen inducible Cre knock-in allele of LGR5 reveal the self-renewal and differentiation capacity of LGR5+ tumour cells. Selective ablation of LGR5+ CSCs in LGR5-iCaspase9 knock-in organoids leads to tumour regression, followed by tumour regrowth driven by re-emerging LGR5+ CSCs. KRT20 knock-in reporter marks differentiated cancer cells that constantly diminish in tumour tissues, while reverting to LGR5+ CSCs and contributing to tumour regrowth after LGR5+ CSC ablation. We also show that combined chemotherapy potentiates LGR5+ CSCs targeting. These data provide insights into the plasticity of CSCs and their potential as a therapeutic target in human colorectal cancer.",Homo sapiens,Expression profiling by array,14,15207,28355176,2017/03/30,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83513,https://pubmed.ncbi.nlm.nih.gov/28355176/
GSE178839,GSE,Alteration of ribosome function upon 5-fluorouracil treatment favours cancer cell drug-tolerance,"Partial response to chemotherapy leads to disease resurgence. Upon treatment, a subpopulation of cancer cells, called drug-tolerant persistent cells, displays a transitory drug tolerance that lead to treatment resistance. Though drug-tolerance mechanisms remain poorly known, they have been linked to non-genomic processes, including epigenetics, stemness and dormancy. 5-fluorouracil (5-FU), the most widely used chemotherapy in cancer treatment, is associated with resistance. While prescribed as an inhibitor of DNA replication, 5-FU alters all RNA pathways. Here, we show that 5-FU treatment leads to the unexpected production of fluorinated ribosomes, exhibiting altered mRNA translation. 5-FU is incorporated into ribosomal RNAs of mature ribosomes in cancer cell lines, colorectal xenografts, and human tumors. Fluorinated ribosomes appear to be functional, yet, they display a selective translational activity towards mRNAs according to the nature of their 5'-untranslated region. As a result, we found that sustained translation of IGF-1R mRNA, which codes for one of the most potent cell survival effectors, promoted the survival of 5-FU-treated colorectal cancer cells. Altogether, our results demonstrate that ""man-made"" fluorinated ribosomes favour the drug-tolerant cellular phenotype by promoting translation of survival genes. This could be exploited for developing novel combined therapies. By unraveling translation regulation as a novel gene expression mechanism helping cells to survive a drug-challenge, our study extends the spectrum of molecular mechanisms driving drug-tolerance.",Homo sapiens,Expression profiling by high throughput sequencing; Other,9,18573,35013311,2021/06/25,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178839,https://pubmed.ncbi.nlm.nih.gov/35013311/
GSE256404,GSE,SIGNAL-seq: Multimodal Single-cell Inter- and Intra-cellular Signalling Analysis II,"We present SIGNAL-seq (Split-pool Indexing siGNalling AnaLysis by sequencing): a multiplexed split-pool combinatorial barcoding method that simultaneously measures RNA and post-translational modifications (PTMs) in fixed single cells from 3D solid-tumour models. SIGNAL-seq PTM measurements are equivalent to mass cytometry and RNA gene detection is analogous to split-pool barcoding scRNA-seq. By measuring both mRNA ligand-receptor pairs and PTMs in single cells, SIGNAL-seq simultaneously reveals both inter- and intra-cellular signalling in tumour microenvironment organoids.",Homo sapiens,Expression profiling by high throughput sequencing; Other,8,24676,NA,2024/02/24,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE256404,NA
GSE116023,GSE,Mefloquine disrupts cancer stem cells by inhibiting lysosomal RAB5/7 mediated mitophagy,"BACKGROUND & AIMS Cancer stem cells (CSCs) establish hierarchy in tumor tissue and a critical role for acquisition of resistance to therapy. Thus, the targeting of CSCs is important. We focused on lysosome which characteristically upregulated in colon CSCs for the aim of CSC targeting and search for new maintenance of CSCs by analyzing the function of CSC targeting drug.    METHODS Correlation of lysosomal activity and CSC markers was assessed and single sphere formation and limiting dilution assay were performed, to evaluate CSCs property. Additionally, in vitro and vivo, we evaluated that anticancer drugs, antimalarial drugs, antitumor effect by combining them, and changes in cancer stem cell hierarchy. We performed microarray analyses to compare gene expression patterns from the tumors of treated patient derived xenograft mice.    RESULTS LC3B+ or Lysotracker+ cells were characteristically existed in CD44V9+/ CD133+ CSC fraction as a small cell subpopulation. Single sphere formation assay and limiting dilution assay showed higher sphere formation activity and higher tumorigenic activity of LC3B+ or Lysotracker+ cells compared to LC3B－or Lysotracker－cells. Mefloquine treatment significantly decreased CD44v9+/ CD133+ cell number than representative antimalarial drugs, chloroquine and hydroxychloroquine. Mefloquine demonstrated the synergic effect on oxaliplatin and irinotecan. In Microarray analysis, we elucidated that mefloquine disrupted lysosome pathway by inhibiting Rab5 and Rab7. In patient-derived colon cancer tissue xenografted (PDX) mouse model, combined treatment of mefloquine with oxaliplatin or irinotecan drastically abrogated the tumorigenic activity of cancer cells.    CONCLUSIONS Lysosomal activity in CSCs is a promising therapeutic target, and repositioning of mefloquine to colon cancer together with conventional chemotherapeutic agent will be a promising strategy for cure of colon cancer.",Homo sapiens,Expression profiling by array,8,21185,NA,2018/06/20,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,3,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE116023,NA
GSE41568,GSE,A Molecular Profile of Colorectal Cancer to Guide Therapy [PDCCEs],"The ability to dissect heterogeneity in colorectal cancer (CRC) is a critical step in developing predictive biomarkers. The goal of this study was to develop a gene expression based molecular subgrouping model, which predicts the likelihood that patients will respond to specific therapies.   Using microarray data compiled from 848 CRC patients, we developed a subgrouping model based on 23 activated oncogenic pathway expression signatures. Stability of the model was validated in two independent data sets.  To test the capacity of our model to predict patient response to specific targeted therapies and to determine the sensitivity of the subgroups to chemotherapy in vivo, we treated patient-derived colorectal cancer explants (PDCCEs) predicted to have high mTOR pathway activity with everolimus or oxaliplatin. Results: A molecular profile of the discovery dataset revealed 8 molecular subgroups of colorectal cancer (MSCC).  Both validation sets also exhibited 8 MSCC and demonstrated significant similarities to the discovery dataset. MSCC predicted to have active mTOR pathway signaling were more sensitive to everolimus compared to MSCC predicted to have low mTOR pathway activity (p=0.016).  Furthermore, MSCCs displayed differential sensitivities to oxaliplatin (p<0.05).   The ability to predict oncogenic signaling pathway activation is a powerful tool that may be used to sub-classify CRCs into clinically relevant MSCCs. Patterns of pathway activation may be used to target specific therapies in CRC patients and identification of sensitivities of MSCC to specific drugs can be a powerful approach to guide therapy for CRC patients.  ",Homo sapiens,Expression profiling by array,133,570,28060954,2016/12/31,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41568,https://pubmed.ncbi.nlm.nih.gov/28060954/
GSE287956,GSE,CAN-Scan: a multi-omic phenotype-driven precision oncology platform identifies prognostic biomarkers of therapy response for colorectal cancer,"Application of machine learning (ML) on cancer-specific pharmacogenomic datasets shows immense promise for identifying predictive response-biomarkers to enable personalized treatment. We introduce CAN-Scan, a precision oncology platform, that applies ML on next-generation pharmacogenomic datasets generated from a freeze-viable biobank of patient-derived primary cell lines (PDCs). These PDCs are screened against 84 FDA-approved drugs at clinically relevant doses (Cmax), focusing on colorectal cancer (CRC) as a model system. CAN-Scan uncovers prognostic biomarkers and alternative treatment strategies, particularly for patients unresponsive to first-line chemotherapy. Specifically, it identifies gene expression signatures linked to resistance against 5-Fluorouracil (5FU)-based drugs and a focal copy number gain on chromosome 7q, harbouring critical resistance-associated genes. CAN-Scan-derived response signatures accurately predict clinical outcomes across four independent, ethnically-diverse CRC cohorts. Notably, drug-specific ML models reveal Regorafenib and Vemurafenib as alternative treatments for BRAF-expressing, 5FU-insensitive CRC. Altogether, this approach demonstrates significant potential in improving biomarker-discovery and guiding personalized treatments.",Homo sapiens,Expression profiling by high throughput sequencing,69,24676,40187357,2025/04/04,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE287956,https://pubmed.ncbi.nlm.nih.gov/40187357/
GSE35144,GSE,Molecular Evaluation of Patient-Derived Colorectal Cancer Explants as a Pre-clinical Mouse Model of Colorectal Cancer,"Mouse models have been developed to investigate colorectal cancer etiology and evaluate new anti-cancer therapies.  While genetically engineered and carcinogen-induced mouse models have provided important information with regard to the mechanisms underlying the oncogenic process, xenograft models remain the standard for the evaluation of new chemotherapy and targeted drug treatments for clinical use.  However, it remains unclear if drug efficacy data obtained from xenograft models translate into clinically-relevant treatment modalities.  In this study, we have generated a panel of 28 patient-derived colorectal cancer explants (PDCCEs), an extension of our previous work, by direct transplantation of human colorectal cancer (CRC) tissues into NOD-SCID mice.  A comprehensive histological and molecular evaluation of PDCCEs and their corresponding patient tumor demonstrates that PDCCEs maintain histological features and global biology through multiple passages.  Furthermore, we demonstrate that in vivo sensitivity of PDCCEs to oxaliplatin can predict patient outcomes. Our findings suggest that PDCCEs maintain similarity to the patient tumor from which they are derived and can serve as a reliable preclinical model that can be incorporated into future strategies to optimize individual therapy for patients with CRC.",Homo sapiens,Expression profiling by array,64,570,22675560,2012/06/07,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE35144,https://pubmed.ncbi.nlm.nih.gov/22675560/
GSE28691,GSE,Characterization of an Oxaliplatin Sensitivity Predictor in a preclinical Murine Model of Colorectal Cancer,"Despite advances in contemporary chemotherapeutic strategies, long term survival still remains elusive for patients with metastatic colorectal cancer. A better understanding of the molecular markers of drug sensitivity to match therapy with patient is needed to improve clinical outcomes. In this study, we used in vitro drug sensitivity data from the NCI-60 cell lines together with their Affymetrix microarray data to develop a gene expression signature to predict sensitivity to oxaliplatin. In order to validate our oxaliplatin sensitivity signature, Patient-Derived Colorectal Cancer Explants (PDCCEs) were developed in NOD-SCID mice from resected human colorectal tumors. Analysis of gene expression profiles found similarities between the PDCCEs and their parental human tumors, suggesting their utility to study drug sensitivity in vivo. The oxaliplatin sensitivity signature was then validated in vivo with response data from 14 PDCCEs treated with oxaliplatin and was found to have an accuracy of 92.9% (Sensitivity=87.5%; Specificity=100%). Our findings suggest that PDCCEs can be a novel source to study drug sensitivity in colorectal cancer. Furthermore, genomic-based analysis has the potential to be incorporated into future strategies to optimize individual therapy for patients with metastatic colorectal cancer. ",Homo sapiens,Expression profiling by array,42,571,22351745,2012/02/17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE28691,https://pubmed.ncbi.nlm.nih.gov/22351745/
GSE178585,GSE,"Circadian clock, carcinogenesis, chronochemotherapy connections","The circadian clock controls the expression of nearly 50% of protein coding genes in mice, and most likely in humans as well. Therefore, disruption of the circadian clock is presumed to have serious pathological effects including cancer. However, epidemiological studies on individuals with circadian disruption because of night shift or rotating shift work have produced contradictory data not conducive to scientific consensus as to whether circadian disruption increases the incidence of breast, ovarian, prostate or colorectal cancers. Similarly, genetically engineered mice with clock disruption do not exhibit spontaneous or radiation-induced cancers at higher incidence than wild-type controls. Because many cellular functions including the cell cycle and cell division are, at least in part, controlled by the molecular clock components (CLOCK, BMAL1, CRYs, PERs), it has also been expected that appropriate timing of chemotherapy may increase the efficacy of chemotherapeutic drugs and ameliorate their side effect. However, empirical attempts at chronochemotherapy have not produced beneficial outcomes. Using mice without and with human tumor xenografts, sites of DNA damage and repair following treatment with the anticancer drug cisplatin have been mapped genome-wide at single nucleotide resolution and as a function of circadian time. The data indicate that mechanism-based studies such as these may provide information necessary for devising rational chronochemotherapy regimens.",Homo sapiens; Mus musculus,Other,36,21103;20301,34375638,2021/06/22,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178585,https://pubmed.ncbi.nlm.nih.gov/34375638/
GSE125404,GSE,Patient-derived scaffolds of colorectal cancer metastases as an organotypic 3D model of liver metastatic colonization​,"The liver is the most common site for colorectal cancer (CRC) metastasis and new tissue culture models are needed to study hepatic metastasis from CRC as none of the current models mimic the biological, biochemical and structural characteristics of the metastatic microenvironment. Decellularization provides a novel approach for the study of cancer extracellular matrix (ECM) as decellularized scaffolds retained their tissue-specific features and biological properties. In the present study we created a 3D model of CRC and matched CRC liver metastasis (CRLM) using patient-derived decellularized ECM scaffolds seeded with HT-29 CRC cell line. Here we show increased HT-29 cell proliferation and migration capability when cultured in cancer-derived scaffolds compared to same-patient healthy colon and liver tissues. CRLM scaffolds also induced activation of epithelial-mesenchymal transition (EMT) with cancer cells showing loss of E-cadherin expression and increased Vimentin expression. EMT was confirmed by gene expression profiling, with the most represented biological processes in CRLM-seeded scaffolds involving demethylation, deacethylation, cellular response to stress metabolic processes, response to oxygen level and to starvation. The complex 3D culture environment reduced the HT-29 cell response to anti-CRC drug 5-FU when used at standard IC50 determined in 2D cultures. In conclusion, our 3D culture system with patient-derived tissue-specific decellularized ECM better recapitulates the metastatic microenvironment compared to conventional 2D culture conditions and represents a relevant approach for the study of liver CRC metastasis formation and progression. Transcriptomic analysis was performed comparing the global gene expression profiles of HT29 cells grown on CRLM and HL scaffolds. The transcriptomic profile of each 3D subtype was compared with HT29 cells grown in plastic. Hierarchical clustering analysis revealed that the gene expression signature of recellularized CRLM scaffolds was more comparable to recellularized HL scaffolds, than to HT29 cells grown in 2D. Gene set enrichment analysis (GSEA) of the differently expressed genes (DEG) up-regulated in recellularized CRLM scaffolds compared to HT29 grown in 2D revealed that genes involved in demethylation, deacethylation and metabolic process belong to the most enriched biological pathways in repopulated-CRLM scaffolds. Comparing the DEG between recellularized CRLM scaffolds vs HT29 grown in 2D with a series of a-priori defined gene-set, called Hallmark, we obtained concordant results with the “HYPOXIA” and “EPITHELIAL_MESENCHYMAL_TRANSITION” pathway, enriched in recellularized CRLM, supporting the idea that 3D culture models are the ability to re-create a complex environment in terms of oxygen tension, nutrients, and metabolic gradient, similarly to the in vivo environment.",Homo sapiens,Expression profiling by array,10,23159,NA,2019/11/30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE125404,NA
GSE128998,GSE,"SNHG15 is a bifunctional MYC-regulated noncoding locus encoding a lncRNA that promotes cell proliferation, invasion and drug resistance in colorectal cancer by interacting with AIF","Thousands of long noncoding RNAs (lncRNAs) are aberrantly expressed in various types of cancers, however our understanding of their role in the disease is still very limited.   We applied RNAseq analysis from patient-derived data with validation in independent cohort of patients. We followed these studies with gene regulation analysis as well as experimental dissection of the role of the identified lncRNA by multiple in vitro and in vivo methods. We analyzed RNA-seq data from tumors of 456 CRC patients compared to normal samples, and identified SNHG15 as a potentially oncogenic lncRNA that encodes a snoRNA in one of its introns.  The processed SNHG15 is overexpressed in CRC tumors and its expression is highly correlated with poor survival of patients. Interestingly, SNHG15 is more highly expressed in tumors with high levels of MYC expression, while MYC protein binds to two E-box motifs on SNHG15 sequence, indicating that SNHG15 transcription is directly regulated by the oncogene MYC. The depletion of SNHG15 by siRNA or CRISPR-Cas9 inhibits cell proliferation and invasion, decreases colony formation as well as the tumorigenic capacity of CRC cells, whereas its overexpression leads to opposite effects. Gene expression analysis performed upon SNHG15 inhibition showed changes in multiple relevant genes implicated in cancer progression, including MYC, NRAS, BAG3 or ERBB3. Several of these genes are functionally related to AIF, a protein that we found to specifically interact with SNHG15, suggesting that the SNHG15 acts, at least in part, by regulating the activity of AIF. Interestingly, ROS levels, which are directly regulated by AIF, show a significant reduction in SNHG15-depleted cells. Moreover, knockdown of SNHG15 increases the sensitiveness of the cells to 5-FU, while its overexpression renders them more resistant to the chemotherapeutic drug. Altogether, these results describe an important role of SNHG15 in promoting colon cancer and mediating drug resistance, suggesting its potential as prognostic marker and target for RNA-based therapies.",Homo sapiens,Expression profiling by high throughput sequencing,6,18573,31014355,2019/03/29,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE128998,https://pubmed.ncbi.nlm.nih.gov/31014355/
GSE97693,GSE,Single-cell Multi-omics Sequencing and Analyses of Human Colorectal Cancer,"Although genomic instability, epigenetic abnormality, and gene expression dysregulation are hallmarks of colorectal cancer, these features have not been simultaneously analyzed at single-cell resolution. Using optimized single-cell multi-omics sequencing together with multi-regional sampling of the primary tumor, lymphatic and distant metastases, we provide insights beyond intratumoral heterogeneity. Genome-wide DNA methylation levels were relatively consistent within a single genetic sub-lineage. The genome-wide DNA demethylation patterns of cancer cells were consistent in all 10 sequenced patients. Our work demonstrates the feasibility of reconstructing genetic lineages, and tracing their epigenomic and transcriptomic dynamics with single-cell multi-omics sequencing.",Homo sapiens,Expression profiling by high throughput sequencing; Methylation profiling by high throughput sequencing,2503,20301,30498128,2018/11/29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE97693,https://pubmed.ncbi.nlm.nih.gov/30498128/
GSE203071,GSE,Machine-learning detects non-invasive 5-hydroxymeythylcytosine biomarkers for predicting response to chemotherapy in patients with metastatic colorectal cancer,"Background: For the majority of patients of metastatic colorectal cancer (mCRC), systematic chemotherapy has been a choice for palliative treatment. When first-line chemotherapies do not work, targeted therapies are administered. Because of inter-individual genetic and epigenetic variations, patients with mCRC who are treated with these therapies may respond differently. It is of great clinical interest to elucidate response mechanisms that could be utilized in predicting individual response to these treatments.   Methods: A highly sensitive technique, the 5hmC-Seal was applied to profile genome-wide 5-hydroxymethylcytosines (5hmC) in 155 cfDNA samples from patients with mCRC recruited for two clinical trials at Zhongshan Hospital, Fudan University in China. Response to systematic chemotherapy and targeted therapy (becacizumab or cetuximab) (CR, complete response; PR, partial response; SD, stable disease; PD, progressive disease) was measured and a 5hmC-based predictive model in cfDNA was developed using a machine learning approach in the PROVE Study (NCT03679039) (n = 100), followed by validation in the METHOD Study (NCT03599947) (n = 55).  Results: Genome-wide mapping of 5hmC in patient-derived cfDNA suggested a distinct 5hmC landscape showing tissue origin and gene regulatory relevance. A eleven-gene model involving relevant pathways such as Rap1 signaling pathway, cAMP signaling pathway, Phospholipase D signaling pathway and cGMP-PKG signaling pathway, distinguished patients with mCRC who responded to chemotherapy, regardless of targeted therapy, resectability, or mutation status in the validation samples (AUC=0.77; 95% CI, 0.64-0.90), outperforming RAS mutation status (AUC=0.70; 95% CI, 0.57-0.83). In addition, the 5hmC model also showed a trend of capacity for predicting progression-free survival (PFS) for mCRC.   Conclusions: Genome-wide mapping reflected relevant pathways and functional interaction networks implicated in the determination of treatment response for patients with mCRC. The 5hmC-Seal model in cfDNA provided a promising non-invasive method for predicting response to systematic chemotherapy in patients with mCRC, who will be essential for personalized medicine.",Homo sapiens,Expression profiling by high throughput sequencing,155,18573;24676,NA,2025/01/01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE203071,NA
GSE100480,GSE,Consensus Molecular Subtypes of colorectal cancer are recapitulated in in vitro and in vivo models [patient tumors and PDX models],"Colorectal cancer (CRC) is a highly heterogeneous disease both from a molecular and clinical perspective. Several distinct molecular entities, such as microsatellite instability (MSI), have been defined that make up biologically distinct subgroups with their own clinical course. Recent data indicated that CRC can be best segregated into four groups called Consensus Molecular Subtypes (CMS1-4), which each have a unique biology and gene expression pattern. In order to develop improved, subtype-specific therapies and to gain insight into the molecular wiring and origin of these subtypes, reliable models are needed. This study was designed to determine the heterogeneity and identify the presence of CMSs in a large panel of CRC cell lines, primary cultures and patient-derived xenografts (PDX). We provide a repository encompassing this heterogeneity and moreover describe that a large part of the models can be robustly assigned to one of the four CMSs, independent of the stromal contribution. We subsequently validate our CMS stratification by functional analysis which for instance shows mesenchymal enrichment in CMS4 and metabolic dysregulation in CMS3. Finally, we observe a clear difference in sensitivity to chemotherapy-induced apoptosis, specifically between CMS2 and CMS4. This relates to the in vivo efficacy of chemotherapy, which delays outgrowth of CMS2, but not CMS4 xenografts. This indicates that molecular subtypes are faithfully modelled in the CRC cell cultures and PDXs, representing tumour cell intrinsic and stable features. This repository provides researchers with a platform to study CRC using the existing heterogeneity.",Homo sapiens,Expression profiling by array,55,13158,29305587,2017/12/01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100480,https://pubmed.ncbi.nlm.nih.gov/29305587/
GSE73906,GSE,Gene Expression Profiles of 4 CRC PDX models treated by RSPO3 antagonist.,"RSPO is a WNT pathway activator and functions as a potent regulator of stem cell growth in colon. RSPO family members were produced by several human tumors representing multiple tumor types including ovarian, pancreatic, colon, breast and lung cancer.  Specific monoclonal antibody antagonists of RSPO family members were developed. In human patient-derived tumor xenograft models, anti-RSPO treatment markedly inhibited tumor growth either as single agents or in combination with chemotherapy. Furthermore, blockade of RSPO signaling reduced the tumorigenicity of cancer cells based on serial transplantation studies. In order to assess the impact of RSPO3 inhibition and gain insight in the anti-RSPO3 treatment mechanism of action, the global gene expression profiles of 4 human colorectal cancer patient derived models (PDX) were performed using Affymetrix microarray for the xenografts treated by the anti-RSPO3 antibody.",Homo sapiens,Expression profiling by array,36,570,26719531,2016/03/03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73906,https://pubmed.ncbi.nlm.nih.gov/26719531/
GSE100479,GSE,Consensus Molecular Subtypes of colorectal cancer are recapitulated in in vitro and in vivo models [primary cell lines Hubrecht Institute],"Colorectal cancer (CRC) is a highly heterogeneous disease both from a molecular and clinical perspective. Several distinct molecular entities, such as microsatellite instability (MSI), have been defined that make up biologically distinct subgroups with their own clinical course. Recent data indicated that CRC can be best segregated into four groups called Consensus Molecular Subtypes (CMS1-4), which each have a unique biology and gene expression pattern. In order to develop improved, subtype-specific therapies and to gain insight into the molecular wiring and origin of these subtypes, reliable models are needed. This study was designed to determine the heterogeneity and identify the presence of CMSs in a large panel of CRC cell lines, primary cultures and patient-derived xenografts (PDX). We provide a repository encompassing this heterogeneity and moreover describe that a large part of the models can be robustly assigned to one of the four CMSs, independent of the stromal contribution. We subsequently validate our CMS stratification by functional analysis which for instance shows mesenchymal enrichment in CMS4 and metabolic dysregulation in CMS3. Finally, we observe a clear difference in sensitivity to chemotherapy-induced apoptosis, specifically between CMS2 and CMS4. This relates to the in vivo efficacy of chemotherapy, which delays outgrowth of CMS2, but not CMS4 xenografts. This indicates that molecular subtypes are faithfully modelled in the CRC cell cultures and PDXs, representing tumour cell intrinsic and stable features. This repository provides researchers with a platform to study CRC using the existing heterogeneity.",Homo sapiens,Expression profiling by array,18,13158,29305587,2017/12/01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100479,https://pubmed.ncbi.nlm.nih.gov/29305587/
GSE100478,GSE,Consensus Molecular Subtypes of colorectal cancer are recapitulated in in vitro and in vivo models [cell line panel],"Colorectal cancer (CRC) is a highly heterogeneous disease both from a molecular and clinical perspective. Several distinct molecular entities, such as microsatellite instability (MSI), have been defined that make up biologically distinct subgroups with their own clinical course. Recent data indicated that CRC can be best segregated into four groups called Consensus Molecular Subtypes (CMS1-4), which each have a unique biology and gene expression pattern. In order to develop improved, subtype-specific therapies and to gain insight into the molecular wiring and origin of these subtypes, reliable models are needed. This study was designed to determine the heterogeneity and identify the presence of CMSs in a large panel of CRC cell lines, primary cultures and patient-derived xenografts (PDX). We provide a repository encompassing this heterogeneity and moreover describe that a large part of the models can be robustly assigned to one of the four CMSs, independent of the stromal contribution. We subsequently validate our CMS stratification by functional analysis which for instance shows mesenchymal enrichment in CMS4 and metabolic dysregulation in CMS3. Finally, we observe a clear difference in sensitivity to chemotherapy-induced apoptosis, specifically between CMS2 and CMS4. This relates to the in vivo efficacy of chemotherapy, which delays outgrowth of CMS2, but not CMS4 xenografts. This indicates that molecular subtypes are faithfully modelled in the CRC cell cultures and PDXs, representing tumour cell intrinsic and stable features. This repository provides researchers with a platform to study CRC using the existing heterogeneity.",Homo sapiens,Expression profiling by array,18,13158,29305587; 33917026,2017/12/01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE100478,https://pubmed.ncbi.nlm.nih.gov/29305587/
